LEGEND,,,
Status,Meaning,
Done,Implemented and matches the 15.06.2026 audit spec for the main workflow.,
Partial,Started or partially built; gaps remain vs the audit.,
Missing,Not implemented or contradicts the audit spec.,
Source,AUDIT = Naeem Dashboard Audit 15.06.2026.pdf | V1/V2 = prior feedback PDFs (archived rows at bottom),
,,,
Section,Topic,Source,Status,Notes
MARKETING,Overview layout & styling,AUDIT,Done,No design changes requested.
MARKETING,Overview map coordinates count reflects all geocoded practices,AUDIT,Done,Overview shows geocoded count of total directory.
MARKETING,Map visual quality & London pins,AUDIT,Done,Layout and pin styling approved.
MARKETING,Map — load all leads (~3000 practices geocoded),AUDIT,Done,Bulk postcodes.io backfill; 2228/2242 practices with addresses mapped.
MARKETING,Map — default all pins to Cold,AUDIT,Done,Practices without lead row default to cold.
MARKETING,Map — manual status dropdown per pin (6 stages),AUDIT,Done,Stage select in pin popup.
MARKETING,Map — live status update + pin colour change,AUDIT,Done,Stage PATCH updates pin colour live.
MARKETING,Practices directory (2336 total),AUDIT,Done,Table layout and count correct; no changes needed.
MARKETING,Lead Nurturing — remove Activate workflow button,AUDIT,Done,Workflow UI removed from AutomationClient.
MARKETING,Lead Nurturing — remove n8n/workflow text,AUDIT,Done,n8n copy removed from nurturing page.
MARKETING,Lead Nurturing — manual stage/rating area,AUDIT,Done,LeadStagePicker + rating in nurturing table.
MARKETING,Lead Nurturing — reversible star rating (0 stars),AUDIT,Done,Click active star again to clear to 0.
MARKETING,Lead Nurturing — manual editable Last emailed,AUDIT,Done,datetime-local editor in nurturing table.
OPS,Ops Overview layout & cards,AUDIT,Done,Structure approved.
OPS,Ops sub-nav: remove Clients/Athletes; add Daily submissions,AUDIT,Done,OpsSubNav updated; Daily submissions tab added.
OPS,Ops sub-nav order: Overview / Daily submissions / Projects / Commercial / Check-ins / Notifications / Analytics,AUDIT,Done,Notifications removed; order matches audit.
OPS,Daily Submissions — layout & log display,AUDIT,Done,Ops submissions hub working.
OPS,Daily Submissions — required field when task type Other,AUDIT,Done,Ops hub shows Other explanation from line item notes.
OPS,Daily Submissions — check-in red glow until actioned,AUDIT,Done,Sidebar/sub-nav glow + ops banner + flagged submission cards.
